functional_url,bullet_points,ASIN,Manufacturer,Product_Description
https://www.amazon.in/EUME-Tourismo-Backpack-Resistance-15-6-inch/dp/B0B4JNV37M/ref=sr_1_11_sspa?crid=2M096C61O4MLT&keywords=bags&qid=1690274840&sprefix=ba%2Caps%2C283&sr=8-11-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&psc=1,"['2 Large Compartments 1 Easy access front Pocket with organizer section & 2 mesh side pocket', 'Capacity : 36 L ; Dimensions : 13X9X19 Inch (LXWXH)', ""Pretty much everything on this backpack is heavily padded. The laptop compartment is also super protective, so there's no need to worry about your laptop getting all banged and damaged. These bags are made of long lasting fabric and their stylish designs help you to make the best impression. It's features are such to make sure that every day is bright and organized."", 'Laptop pocket designed for your laptops to give them maximum security. It comes with Ipad Pocket and Pen Pocket which aids in organising your things systematically. A comfortable breathable back and straps to strengthen your shoulder and hence ensures durability.', 'A roller bag sleeve added feature to make your travelling even more comfortable and convenient. It is water resistance also so that your backpack never loses its good look.']",B0B4JNV37M,EUME Lifetsyle Pvt Ltd,None
https://www.amazon.in/Impulse-Seacon-Lite-Resistant-Grey/dp/B0C3MM9MPK/ref=sr_1_12_sspa?crid=2M096C61O4MLT&keywords=bags&qid=1690274840&sprefix=ba%2Caps%2C283&sr=8-12-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&psc=1,"['Care Instructions: Wipe with Dry Cloth', 'SPACIOUS AND LIGHTWEIGHT: 35L CAPACITY Light weight & spacious 3 Compartment with laptop sleeves fits upto 16 Inch laptop, Multi Pockets to keep your essentials. Organizer pockets as per needs. . It has provision for holding bottles on both sides and has padded shoulder straps for your comfort.Made with strong yet light weight polyester fabric with heavy zippers', 'ERGONOMIC DESIGN: Thick cushioning around the shoulders and on the back panel makes the backpack super light and comfortable on the move. “S” Shaped shoulder strap distribute the weight of the backpack across your upper body. Stitched properly and Bartacks on every pressure point for extra durability', '1 YEAR WARRANTY: The Impulse Travel backpack comes with 1 year of warranty', 'WATER RESISTANT MATERIAL: The Material ensures resistance to water entering from any direction.', 'MADE IN INDIA – Impulse Travel Backpack is fully manufactured in India and pass through stringent quality tests and checks']",B0C3MM9MPK,None,"Impulse Backpack are made to give you comfort and durability, It is light in weight one backpack for all your needs"
https://www.amazon.in/Gear-Black-Laptop-Backpack-LBPASPIRE0104/dp/B075MK4TXP/ref=sr_1_13?crid=2M096C61O4MLT&keywords=bags&qid=1690274840&sprefix=ba%2Caps%2C283&sr=8-13,"['Outer Material: Polyester, Color: Black', 'Water Resistance: Water resistant', 'Capacity: 30 liters; Dimensions: 50 cms x 34 cms x 18 cms (LxWxH); Number of compartments: 2', 'Laptop Compatibility: Yes, Laptop Size: 17, Strap Type: Adjustable,', 'Closure Type: Zipper; Pocket Description: Utility Pocket; Special Features: Laptop Compartment; Age Range Description: Adult; Style Name: Traditional Backpacks']",B075MK4TXP,Gear Merchandise PVT LTD,None
https://www.amazon.in/TRUE-HUMAN-Anti-Theft-backpack-charging/dp/B09QJ7ZF2Y/ref=sr_1_14?crid=2M096C61O4MLT&keywords=bags&qid=1690274840&sprefix=ba%2Caps%2C283&sr=8-14,"['Care Instructions: Hand Wash Only', 'Ease of Access-Multi purpose pockets Super sorted stuff It has a vibrant and stylish design, along with the added benefit of spacious interiors.', 'Anti - Theft Pocket-Hidden storage pocket for important documents like passports, tickets, cash while on the go.', 'Integrated Fast charging port-Unique pre-fitted USB port helps you to easily connect your phone or any other device with your power bank. Charging system for smart devices , with free USB (power bank not included )', 'Care Instructions: Wipe with Dry Cloth', 'Superior & Durability: Made of durable and Eco-friendly water resistant oxford textile fabric,which keeps your files and stuffs dry inside. This backpack can hold up to 15.6"" laptop from most brands, but it may not be suitable for all brand 15.6"". Since there maybe exist slight size difference among different laptop brands.']",B09QJ7ZF2Y,None,None
https://www.amazon.in/Half-Moon-Backpack-Spacious-Multiple/dp/B0C23Z9W18/ref=sr_1_15?crid=2M096C61O4MLT&keywords=bags&qid=1690274840&sprefix=ba%2Caps%2C283&sr=8-15,"['This lightweight and spacious laptop bag with 3 compartments contains a dedicated 360 degree protected laptop compartment (up to 17""), so you can you can transport your tech with peace of mind. A Spacious second compartment for essentials like books and files, and a third compartment for extra items. Also features padded shoulder straps and side pockets for water bottles.', ""Carry your books and belongings with ease with this comfortable and durable bagpack! Featuring wide, padded, and adjustable shoulder straps and a padded back, this backpack can handle even heavy loads. Made with strong yet lightweight polyester fabric and heavy-duty zippers, it's built to last. Plus, it comes with a rain cover, perfect for those rainy school or college days."", 'Make a statement on your next trip with our smart and stylish backpack! With a trendy and athletic design, this multipurpose backpack is the perfect combination of style and adventure. Your trips, travel experience cannot get completed without this amazing trekking backpack.', ""Experience enduring and long-lasting performance with our backpack! Made with highly durable material, this backpack is suitable for all weather conditions, including heavy rains and extreme heat. It not only keeps your belongings safe but also resists damage to itself. So, don't settle for anything less."", 'FEATURES: 15.6 inch Laptop compartment, Internal Organiser, Strong and durable zippers, Adjustable Shoulder Handles (Straps) , 2 Bottle/Umbrella holders , Padded Handle , Padded Laptop Compartment , Ergonomic Design, etc']",B0C23Z9W18,Half_Moon,None
https://www.amazon.in/NORTH-ZONE-Waterproof-Backpack-Dimensions/dp/B0BS6QQZYN/ref=sr_1_16?crid=2M096C61O4MLT&keywords=bags&qid=1690274840&sprefix=ba%2Caps%2C283&sr=8-16,"['Care Instructions: Machine Wash', 'Sleek, Stylish and Premium: Heavy duty ultra premium bag with exterior dimensions 44x29x15 cms. Made of Durable Polyester Fabric with Double zippers. sturdy durable, scratch resistant.; Multi Utility Bag: It is not only a student backpack, but also can be used as a business/work backpack, travelling, office, computer bag, hiking bag, daily bag and a lot more.', 'Storage Space: There is a separate laptop compartment inside the backpack that can hold upto 15.6 inches laptop. The internal packaging compartment and external pockets can hold daily necessities, keeping your items organized and easier to find.', 'Quick Storage: The front and side zipper pockets of the backpack are convenient for storing tablets, diaries, pens and pencils, smartphones, cards, change, etc. The side pockets of the backpack are convenient for storing compact umbrellas and other small items.']",B0BS6QQZYN,SHABA BAGS,"Care Instructions: Do not expose to extreme heat The Hype 1 Casual Backpack from Northzone Sport features an elegant look and feel. It is a perfect every day carry for speedy city commutes, college or school. Keeping it unique and stylish, this Northzone backpack features a versatile shaded design with the Northzone logo print on the face of the bag. Sturdy, spacious and elegant are the spirit of this backpack. Plenty of Space & Pockets: This college bags for girls and boys features two spacious compartments that can each fit book, iPad, A4 size files, lunch box, light clothes, school supplies & accessories. It also features a zip compartment with multiple organizer pockets for keys, pens, pencils, cell phone, power bank, etc. The twin mesh pockets on each side helps pack in a water bottle and a compact umbrella. Lightweight & Sturdy: This school bags for girls and boys features a multi ventilated 10mm robust mesh padding that provides maximum back support. The straps are breathable, padded and adjustable that helps to relieve the stress on your shoulder. The top of the backpack features a webbing loop top handle that helps in carrying the backpack with ease. External Dimension: Length – 33cm, Width – 21cm, Height – 49cm, Weight – 1,000 grams. Capacity – 34 litres. Laptop Compatibility – yes"
https://www.amazon.in/NORTH-ZONE-Lightweight-Backpacks-Stylish/dp/B0BL3TVDK6/ref=sr_1_17?crid=2M096C61O4MLT&keywords=bags&qid=1690274840&sprefix=ba%2Caps%2C283&sr=8-17,"['Care Instructions: Hand Wash Only', 'COMPATIBLE WITH 15.6 INCH LAPTOP”: The Northzone Backpack fits up to 15.6 inch laptop. Dimensions: 34cm x 15cm x 45.5cm; Weight: 499g', 'HIGH QUALITY, DURABLE AND WATER REPELLANT FABRIC”: This backpack features in durable snow yarn polyester fabric and streamlined design with a padded interior to protect notebooks and important items', 'CONVENIENT TRAVEL"" Adjustable shoulder strap and padded laptop compartment together with a quilted back panel make it comfortable for all-day use', 'CONVENIENTLY PLACED PADDED LAPTOP COMPARTMENTS AND POCKETS: The padded interior helps protect notebooks and important items. Quick access zippered front pocket for added storage. A quilted back panel make it comfortable for all-day use.', 'HIGH QUALITY, CASUAL YET STYLISH DESIGN"": very attractive and perfect for school, travel and outdoor activities. The perfect backpack for those needing stylish all-day protection for their laptop.']",B0BL3TVDK6,Northzone,"NORTHZONE BACKPACK If you carry your laptop to and from work, then this laptop bag from Northzone will definitely make travelling easier. Compatibility This backpack can fit a 38.1 cm laptop comfortably. Compartments This bag has three spacious compartments to store the laptop, charger, external devices, and other accessories with ease. Pockets The two mesh pockets on either sides of this black and blue backpack allow you to store a water bottle, ID card and other knick-knacks, so you can access them easily."
https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF/ref=sr_1_18?crid=2M096C61O4MLT&keywords=bags&qid=1690274840&sprefix=ba%2Caps%2C283&sr=8-18,"['Material: Water Resistant Light-Weight Polyester<br>', 'Compartments: 2 with padding; Laptop Size: 15.6 inch and below<br>', 'Dimensions: LxWxH - 12.5 x 7.5 x 19 inches<br>', 'Reflector Logo / Adjustable Padded Shoulder Straps / 2 Bottle holders<br>', 'Closure Type: Zipper<br>']",B09TPX22NF,ADISA,None
https://www.amazon.in/GEAR-Black-Blue-Backpack-years/dp/B019HA8AYG/ref=sr_1_19?crid=2M096C61O4MLT&keywords=bags&qid=1690274840&sprefix=ba%2Caps%2C283&sr=8-19,"['Outer Material: Polyester, Color: Black and Yellow.Ideal for 3-5 year old children.', 'Wear Resistant: Wear resistant, Stain resistant, Water Resistance: Water resistant; Dimensions: 49 cms x 33 cms x 10 cms (LxWxH)', 'Number of compartments: 1; Compatible Laptop Size : 15.4', 'Warranty Type: Manufacturer; 1 Year from the date of purchase', 'Pocket Description: Utility Pocket; Color Name: Black And Blue; Age Range Description: Adult; Closure Type: Zipper']",B019HA8AYG,No,None
https://www.amazon.in/FATMUG-Laptop-Bag-Men-Convertible/dp/B084LF4RT5/ref=sr_1_20?crid=2M096C61O4MLT&keywords=bags&qid=1690274840&sprefix=ba%2Caps%2C283&sr=8-20,"['PRACTICAL AND ELEGANT:Made with Oxford Fabric, a stylish laptop bag for daily travel and short trips<br>; Pocket Description: Utility Pocket; Age Range Description: Adult; Style Name: Travel Backpacks; Special Features: Laptop Compartment<br><br>', 'Pocket Description: Utility Pocket; Special Features: Laptop Compartment; Age Range Description: Adult; Style Name: Travel Backpacks<br>', 'Water Resistance Level: Water Resistant; Compartment Description: Greater Than 17 Inches<br>']",B084LF4RT5,"‎Fatmug Designs, Delhi",None
